PH_key,PH,date
519,4.808,2022-08-01 17:23:41
518,4.817,2022-08-01 17:23:32
517,4.819,2022-08-01 17:23:22
516,4.819,2022-08-01 17:23:11
515,4.822,2022-08-01 17:23:01
514,4.816,2022-08-01 17:22:52
513,4.815,2022-08-01 17:22:42
512,4.823,2022-08-01 17:22:32
511,4.812,2022-08-01 17:22:22
510,4.816,2022-08-01 17:22:12
509,4.819,2022-08-01 17:22:01
508,4.802,2022-08-01 17:21:52
507,4.817,2022-08-01 17:21:41
506,4.82,2022-08-01 17:21:32
505,4.816,2022-08-01 17:21:21
504,4.816,2022-08-01 17:21:12
503,4.813,2022-08-01 17:21:01
502,4.817,2022-08-01 17:20:52
501,4.819,2022-08-01 17:20:42
500,4.819,2022-08-01 17:20:32
499,4.813,2022-08-01 17:20:22
498,4.81,2022-08-01 17:20:12
497,4.813,2022-08-01 17:20:02
496,4.818,2022-08-01 17:19:52
495,4.822,2022-08-01 17:19:41
494,4.812,2022-08-01 17:19:31
493,4.817,2022-08-01 17:19:21
492,4.821,2022-08-01 17:19:12
491,4.815,2022-08-01 17:19:01
490,4.819,2022-08-01 17:18:52
489,4.817,2022-08-01 17:18:42
488,4.816,2022-08-01 17:18:31
487,4.81,2022-08-01 17:18:22
486,4.803,2022-08-01 17:18:12
485,4.813,2022-08-01 17:18:01
484,4.812,2022-08-01 17:17:52
483,4.812,2022-08-01 17:17:41
482,4.804,2022-08-01 17:17:32
481,4.81,2022-08-01 17:17:22
480,4.814,2022-08-01 17:17:11
479,4.813,2022-08-01 17:17:01
478,4.816,2022-08-01 17:16:52
477,4.816,2022-08-01 17:16:41
476,4.811,2022-08-01 17:16:31
475,4.801,2022-08-01 17:16:21
474,4.811,2022-08-01 17:16:11
473,4.81,2022-08-01 17:16:01
472,4.811,2022-08-01 17:15:52
471,4.811,2022-08-01 17:15:42
470,4.81,2022-08-01 17:15:32
469,4.807,2022-08-01 17:15:22
468,4.808,2022-08-01 17:15:11
467,4.805,2022-08-01 17:15:01
466,4.812,2022-08-01 17:14:51
465,4.804,2022-08-01 17:14:41
464,4.804,2022-08-01 17:14:31
463,4.798,2022-08-01 17:14:21
462,4.808,2022-08-01 17:14:12
461,4.812,2022-08-01 17:14:01
460,4.811,2022-08-01 17:13:52
459,4.811,2022-08-01 17:13:41
458,4.809,2022-08-01 17:13:31
457,4.807,2022-08-01 17:13:22
456,4.811,2022-08-01 17:13:11
455,4.807,2022-08-01 17:13:01
454,4.807,2022-08-01 17:12:52
453,4.793,2022-08-01 17:12:41
452,4.804,2022-08-01 17:12:32
451,4.807,2022-08-01 17:12:21
450,4.802,2022-08-01 17:12:12
449,4.808,2022-08-01 17:12:02
448,4.805,2022-08-01 17:11:52
447,4.809,2022-08-01 17:11:41
446,4.804,2022-08-01 17:11:32
445,4.802,2022-08-01 17:11:21
444,4.806,2022-08-01 17:11:11
443,4.803,2022-08-01 17:11:01
442,4.795,2022-08-01 17:10:51
441,4.802,2022-08-01 17:10:42
440,4.801,2022-08-01 17:10:32
439,4.8,2022-08-01 17:10:22
438,4.801,2022-08-01 17:10:20
437,4.801,2022-08-01 17:10:18
436,4.799,2022-08-01 17:09:51
435,4.799,2022-08-01 17:09:42
434,4.801,2022-08-01 17:09:31
433,4.796,2022-08-01 17:09:22
432,4.798,2022-08-01 17:09:12
431,4.794,2022-08-01 17:09:02
430,4.794,2022-08-01 17:08:52
429,4.798,2022-08-01 17:08:41
428,4.791,2022-08-01 17:08:32
427,4.797,2022-08-01 17:08:21
426,4.783,2022-08-01 17:08:11
425,4.79,2022-08-01 17:08:01
424,4.789,2022-08-01 17:07:51
423,4.793,2022-08-01 17:07:42
422,4.783,2022-08-01 17:07:32
421,4.782,2022-08-01 17:07:21
420,4.783,2022-08-01 17:07:11
419,4.776,2022-08-01 17:07:02
418,4.776,2022-08-01 17:06:51
417,4.768,2022-08-01 17:06:42
416,4.768,2022-08-01 17:06:31
415,4.772,2022-08-01 17:06:22
414,4.763,2022-08-01 17:06:11
413,4.776,2022-08-01 17:06:01
412,4.748,2022-08-01 17:05:52
411,1.066,2022-08-01 17:00:21
338,1,2022-07-20 18:13:58
337,1,2022-07-20 18:13:48
260,10,2022-07-20 18:03:24
259,10,2022-07-20 18:03:14
258,10,2022-07-20 18:03:00
254,10,2022-07-20 18:00:08
253,10,2022-07-20 18:00:04
252,10,2022-07-20 18:00:04
251,10,2022-07-20 18:00:03
250,10,2022-07-20 18:00:03
249,10,2022-07-20 18:00:03
248,10,2022-07-20 18:00:03
244,10,2022-07-20 18:00:02
245,10,2022-07-20 18:00:02
246,10,2022-07-20 18:00:02
247,10,2022-07-20 18:00:02
240,10,2022-07-20 17:59:42
241,10,2022-07-20 17:59:42
242,10,2022-07-20 17:59:42
243,10,2022-07-20 17:59:42
228,10,2022-07-20 17:56:12
227,10,2022-07-20 17:55:55
173,40,2022-07-19 15:14:25
172,40,2022-07-19 15:14:24
171,40,2022-07-19 15:14:23
170,40,2022-07-19 15:14:22
169,40,2022-07-19 15:14:21
168,40,2022-07-19 15:14:21
167,40,2022-07-19 15:14:20
166,40,2022-07-19 15:14:19
165,40,2022-07-19 15:14:19
163,40,2022-07-19 15:14:18
164,40,2022-07-19 15:14:18
162,40,2022-07-19 15:14:17
161,40,2022-07-19 15:14:16
160,40,2022-07-19 15:14:15
159,40,2022-07-19 15:14:14
158,40,2022-07-19 15:14:13
157,40,2022-07-19 15:14:13
156,40,2022-07-19 15:14:12
155,40,2022-07-19 15:14:11
154,40,2022-07-19 15:14:09
153,40,2022-07-19 15:14:08
152,40,2022-07-19 15:14:05
151,18,2022-07-19 15:13:52
150,18,2022-07-19 15:13:36
149,1,2022-07-19 14:44:44
148,1,2022-07-19 14:44:43
146,1,2022-07-19 14:44:42
147,1,2022-07-19 14:44:42
145,1,2022-07-19 14:44:41
144,1,2022-07-19 14:44:40
143,1,2022-07-19 14:44:40
142,1,2022-07-19 14:44:39
141,1,2022-07-19 14:44:38
140,1,2022-07-19 14:44:37
139,1,2022-07-19 14:44:36
137,1,2022-07-19 14:44:35
138,1,2022-07-19 14:44:35
136,1,2022-07-19 14:44:34
135,1,2022-07-19 14:44:34
134,1,2022-07-19 14:44:33
133,1,2022-07-18 22:30:49
132,1,2022-07-18 22:30:44
